Temp ; Freq
-40 ; 2.58799E+06
-25 ; 2.76664E+06
-10 ; 2.94295E+06
5 ; 3.11998E+06
20 ; 3.3002E+06
35 ; 3.47922E+06
50 ; 3.66428E+06
65 ; 3.8501E+06
80 ; 4.03588E+06
95 ; 4.22416E+06
110 ; 4.41288E+06
125 ; 4.60183E+06
