Temp ; Freq
-40 ; 1.38365E+06
-25 ; 1.48486E+06
-10 ; 1.58923E+06
5 ; 1.6995E+06
20 ; 1.81433E+06
35 ; 1.93416E+06
50 ; 2.06099E+06
65 ; 2.19113E+06
80 ; 2.32662E+06
95 ; 2.46367E+06
110 ; 2.60357E+06
125 ; 2.74004E+06
