Temp ; Freq
-40 ; 1.32388E+06
-25 ; 1.44443E+06
-10 ; 1.57497E+06
5 ; 1.7118E+06
20 ; 1.85339E+06
35 ; 2.0048E+06
50 ; 2.15794E+06
65 ; 2.31444E+06
80 ; 2.47093E+06
95 ; 2.62572E+06
110 ; 2.77921E+06
125 ; 2.92657E+06
