Temp ; Freq
-40 ; 1.84717E+06
-25 ; 2.12551E+06
-10 ; 2.41141E+06
5 ; 2.7059E+06
20 ; 3.04138E+06
35 ; 3.30478E+06
50 ; 3.62841E+06
65 ; 3.93765E+06
80 ; 4.23256E+06
95 ; 4.52076E+06
110 ; 4.8219E+06
125 ; 5.12594E+06
