Temp ; Freq ; Current
-40 ; 0 ; 3.32261E-11
-25 ; 0 ; 4.30391E-11
-10 ; 0 ; 7.84859E-11
5 ; 0 ; 2.01414E-10
20 ; 0 ; 6.03269E-10
25 ; 0 ; 8.43791E-10
35 ; 0 ; 1.58716E-09
50 ; 0 ; 4.11069E-09
65 ; 0 ; 9.86933E-09
80 ; 0 ; 2.182E-08
95 ; 0 ; 4.47129E-08
110 ; 0 ; 8.57161E-08
125 ; 0 ; 1.54855E-07
