temperature_C,count,freq_MHz
-40.0,34,1.128510
-25.0,37,1.225460
-10.0,40,1.324660
5.0,44,1.425680
20.0,47,1.528140
35.0,50,1.631300
50.0,53,1.734040
65.0,56,1.837630
80.0,59,1.938740
95.0,62,2.039970
110.0,65,2.139800
125.0,68,2.235220
