temperature_C,count,freq_MHz
-40.0,89,2.913910
-25.0,94,3.084320
-10.0,99,3.255070
5.0,104,3.421810
20.0,110,3.596920
35.0,115,3.770980
50.0,120,3.943440
65.0,126,4.124800
80.0,131,4.302710
95.0,137,4.490700
110.0,143,4.677180
125.0,149,4.868680
