Temp ; Freq ; Vref ; Iavg
-40 ; 1.93393E+06 ; 1.22175 ; 1.92455E-05
-25 ; 2.26663E+06 ; 1.22376 ; 2.1225E-05
-10 ; 2.63638E+06 ; 1.22541 ; 2.33214E-05
5 ; 3.02348E+06 ; 1.22674 ; 2.55134E-05
20 ; 3.40609E+06 ; 1.22772 ; 2.77583E-05
