Temp ; Freq
-40 ; 1.42065E+06
-25 ; 1.5022E+06
-10 ; 1.58451E+06
5 ; 1.66749E+06
20 ; 1.74947E+06
35 ; 1.83105E+06
50 ; 1.91278E+06
65 ; 1.99125E+06
80 ; 2.06834E+06
95 ; 2.14203E+06
110 ; 2.21107E+06
125 ; 2.2738E+06
