Temp ; Freq
-40 ; 1.73433E+06 ; 2.3748E-05
-25 ; 1.98491E+06 ; 2.65576E-05
-10 ; 2.2703E+06 ; 2.9529E-05
5 ; 2.58737E+06 ; 3.26308E-05
20 ; 2.93128E+06 ; 3.59048E-05
35 ; 3.29564E+06 ; 3.92615E-05
50 ; 3.67822E+06 ; 4.26509E-05
65 ; 4.07166E+06 ; 4.60554E-05
80 ; 4.48388E+06 ; 4.94497E-05
95 ; 4.89459E+06 ; 5.2808E-05
110 ; 5.30211E+06 ; 5.61252E-05
125 ; 5.7001E+06 ; 5.9404E-05
