Temp ; Freq
-40 ; 1.28127E+06 ; 1.97396E-05
-25 ; 1.47703E+06 ; 2.23424E-05
-10 ; 1.72531E+06 ; 2.49735E-05
5 ; 2.03273E+06 ; 2.77871E-05
20 ; 2.39225E+06 ; 3.06615E-05
35 ; 2.79643E+06 ; 3.33789E-05
50 ; 3.23269E+06 ; 3.61525E-05
65 ; 3.67924E+06 ; 3.86668E-05
80 ; 4.13669E+06 ; 4.10989E-05
95 ; 4.58322E+06 ; 4.35792E-05
110 ; 5.0062E+06 ; 4.63271E-05
125 ; 5.41282E+06 ; 4.95634E-05
