Temp ; Freq
-40 ; 1.17889E+06 ; 1.90007E-05
-25 ; 1.29978E+06 ; 2.11157E-05
-10 ; 1.44459E+06 ; 2.33153E-05
5 ; 1.60946E+06 ; 2.56409E-05
20 ; 1.79324E+06 ; 2.79322E-05
35 ; 1.99187E+06 ; 3.03025E-05
50 ; 2.20008E+06 ; 3.27801E-05
65 ; 2.41848E+06 ; 3.54317E-05
80 ; 2.64283E+06 ; 3.81074E-05
95 ; 2.86738E+06 ; 4.05826E-05
110 ; 3.09024E+06 ; 4.29486E-05
125 ; 3.31188E+06 ; 4.52017E-05
