Temp ; Freq
-40 ; 884949 ; 1.34546E-05
-25 ; 938520 ; 1.46308E-05
-10 ; 1.00071E+06 ; 1.59161E-05
5 ; 1.07729E+06 ; 1.72261E-05
20 ; 1.17124E+06 ; 1.84717E-05
35 ; 1.28269E+06 ; 1.96765E-05
50 ; 1.40949E+06 ; 2.07547E-05
65 ; 1.54943E+06 ; 2.18781E-05
80 ; 1.69992E+06 ; 2.32574E-05
95 ; 1.85741E+06 ; 2.4998E-05
110 ; 2.01913E+06 ; 2.69596E-05
125 ; 2.18287E+06 ; 2.88521E-05
