Temp ; Freq
-40 ; 1.3026E+06 ; 1.83434E-05
-25 ; 1.40608E+06 ; 2.04838E-05
-10 ; 1.53129E+06 ; 2.26568E-05
5 ; 1.67813E+06 ; 2.48632E-05
20 ; 1.84297E+06 ; 2.7098E-05
35 ; 2.02357E+06 ; 2.93758E-05
50 ; 2.21427E+06 ; 3.17999E-05
65 ; 2.41266E+06 ; 3.42843E-05
80 ; 2.61816E+06 ; 3.68464E-05
95 ; 2.82465E+06 ; 3.92197E-05
110 ; 3.03031E+06 ; 4.14756E-05
125 ; 3.22938E+06 ; 4.35048E-05
