Temp ; Freq
-40 ; 2.05141E+06 ; 3.49123E-05
-25 ; 2.29331E+06 ; 3.8551E-05
-10 ; 2.55663E+06 ; 4.23316E-05
5 ; 2.82673E+06 ; 4.61373E-05
20 ; 3.11589E+06 ; 4.99947E-05
35 ; 3.39021E+06 ; 5.38618E-05
50 ; 3.69145E+06 ; 5.75644E-05
65 ; 3.99967E+06 ; 6.11818E-05
80 ; 4.31362E+06 ; 6.48861E-05
95 ; 4.64029E+06 ; 6.83294E-05
110 ; 4.95176E+06 ; 7.17104E-05
125 ; 5.25358E+06 ; 7.52351E-05
