Temp ; Freq
-40 ; 1.15899E+06 ; 1.89094E-05
-25 ; 1.2765E+06 ; 2.08227E-05
-10 ; 1.41754E+06 ; 2.2887E-05
5 ; 1.57976E+06 ; 2.51066E-05
20 ; 1.75959E+06 ; 2.73437E-05
35 ; 1.95275E+06 ; 2.96288E-05
50 ; 2.15593E+06 ; 3.19315E-05
65 ; 2.36278E+06 ; 3.4143E-05
80 ; 2.57272E+06 ; 3.63016E-05
95 ; 2.77705E+06 ; 3.8352E-05
110 ; 2.97314E+06 ; 4.04066E-05
125 ; 3.14416E+06 ; 4.2324E-05
