Temp ; Freq
-40 ; 881833 ; 1.67565E-05
-25 ; 989165 ; 1.87947E-05
-10 ; 1.11406E+06 ; 2.09376E-05
5 ; 1.25501E+06 ; 2.31554E-05
20 ; 1.41014E+06 ; 2.54275E-05
35 ; 1.57853E+06 ; 2.77598E-05
50 ; 1.75775E+06 ; 3.01848E-05
65 ; 1.94231E+06 ; 3.27709E-05
80 ; 2.13233E+06 ; 3.52613E-05
95 ; 2.32648E+06 ; 3.77159E-05
110 ; 2.51831E+06 ; 3.99032E-05
125 ; 2.70866E+06 ; 4.19634E-05
