Temp ; Freq
-40 ; 1.37771E+06 ; 1.43089E-05
-25 ; 1.80048E+06 ; 1.5934E-05
-10 ; 2.34568E+06 ; 1.78863E-05
5 ; 2.93418E+06 ; 2.0012E-05
20 ; 3.53258E+06 ; 2.22206E-05
35 ; 4.12514E+06 ; 2.44089E-05
50 ; 4.70026E+06 ; 2.6648E-05
65 ; 5.2538E+06 ; 2.86943E-05
80 ; 5.77784E+06 ; 3.07425E-05
95 ; 6.27371E+06 ; 3.28829E-05
110 ; 6.73168E+06 ; 3.5373E-05
125 ; 7.15257E+06 ; 3.82732E-05
