Temp ; Freq
-40 ; 1.24574E+06 ; 2.22849E-05
-25 ; 1.38734E+06 ; 2.45918E-05
-10 ; 1.54743E+06 ; 2.70122E-05
5 ; 1.71962E+06 ; 2.95386E-05
20 ; 1.90458E+06 ; 3.20587E-05
35 ; 2.09631E+06 ; 3.46123E-05
50 ; 2.29309E+06 ; 3.70155E-05
65 ; 2.49215E+06 ; 3.93259E-05
80 ; 2.69162E+06 ; 4.15728E-05
95 ; 2.88501E+06 ; 4.3708E-05
110 ; 3.06782E+06 ; 4.58901E-05
125 ; 3.2331E+06 ; 4.7924E-05
